SKU,Category,Style,Size,Total_Quantity_Sold,Total_Sales,Average_Price,Total_Orders,Initial_Stock,Current_Stock,Reorder_Level,Inventory_Status
AN201-RED-M,Bottom,AN201,M,1,229.0,229.0,1,391,390,50,In Stock
AN201-RED-XXL,Bottom,AN201,XXL,1,229.0,229.0,1,402,401,50,In Stock
AN202-ORANGE-M,Bottom,AN202,M,2,530.0,265.0,2,441,439,50,In Stock
AN202-ORANGE-S,Bottom,AN202,S,4,1141.0,285.25,4,409,405,50,In Stock
AN202-ORANGE-XXL,Bottom,AN202,XXL,1,229.0,229.0,1,119,118,50,In Stock
AN203-MAROON-XXL,Bottom,AN203,XXL,1,301.0,301.0,1,267,266,50,In Stock
AN204-PURPLE-L,Bottom,AN204,L,1,935.34,311.78000000000003,3,454,453,50,In Stock
AN204-PURPLE-XL,Bottom,AN204,XL,0,306.67,306.67,1,281,281,50,In Stock
AN205-YELLOW-S,Bottom,AN205,S,3,723.0,241.0,3,344,341,50,In Stock
AN205-YELLOW-XL,Bottom,AN205,XL,1,301.0,301.0,1,442,441,50,In Stock
AN206-GREEN-M,Bottom,AN206,M,1,249.0,249.0,1,211,210,50,In Stock
AN207-PINK-L,Bottom,AN207,L,1,322.0,322.0,1,326,325,50,In Stock
AN207-PINK-XXL,Bottom,AN207,XXL,1,322.0,322.0,1,443,442,50,In Stock
AN208-MUSTARD-L,Bottom,AN208,L,1,301.0,301.0,1,246,245,50,In Stock
AN208-MUSTARD-M,Bottom,AN208,M,1,229.0,229.0,1,101,100,50,In Stock
AN208-MUSTARD-S,Bottom,AN208,S,1,229.0,229.0,1,351,350,50,In Stock
AN208-MUSTARD-XL,Bottom,AN208,XL,1,229.0,229.0,1,239,238,50,In Stock
AN208-MUSTARD-XXL,Bottom,AN208,XXL,3,840.0,280.0,3,282,279,50,In Stock
AN209-BIEGE-XL,Bottom,AN209,XL,3,771.0,257.0,3,153,150,50,In Stock
AN210-NAVY-M,Bottom,AN210,M,0,286.67,286.67,1,348,348,50,In Stock
AN211-BLACK-L,Bottom,AN211,L,5,1505.0,376.25,4,459,454,50,In Stock
AN211-BLACK-S,Bottom,AN211,S,1,301.0,301.0,1,276,275,50,In Stock
AN211-BLACK-XXL,Bottom,AN211,XXL,3,903.0,451.5,2,462,459,50,In Stock
AN213-BROWN-L,Bottom,AN213,L,4,1490.67,298.134,5,397,393,50,In Stock
AN213-BROWN-M,Bottom,AN213,M,1,587.6700000000001,293.83500000000004,2,443,442,50,In Stock
AN213-BROWN-S,Bottom,AN213,S,4,1060.0,265.0,4,101,97,50,In Stock
AN213-BROWN-XL,Bottom,AN213,XL,1,301.0,301.0,1,475,474,50,In Stock
BL001-50PINK,Blouse,BL001,Free,1,419.0,419.0,1,486,485,50,In Stock
BL003-50BLACK,Blouse,BL003,Free,2,838.0,419.0,2,381,379,50,In Stock
BL003-50BLACK-B,Blouse,BL003,Free,6,2906.05,415.15000000000003,7,265,259,50,In Stock
BL004-50CHIKU-B,Blouse,BL004,Free,1,419.0,419.0,1,319,318,50,In Stock
BL006-54BLACK,Blouse,BL006,Free,4,1911.76,382.352,5,266,262,50,In Stock
BL006-54BLACK-B,Blouse,BL006,Free,1,383.0,383.0,1,396,395,50,In Stock
BL007-61PINK-B,Blouse,BL007,Free,3,1017.0,339.0,3,161,158,50,In Stock
BL008-61RED-B,Blouse,BL008,Free,2,678.0,339.0,2,441,439,50,In Stock
BL009-61BLACK,Blouse,BL009,Free,5,1705.0,568.3333333333334,3,256,251,50,In Stock
BL009-61BLACK-B,Blouse,BL009,Free,13,4754.86,339.6328571428571,14,251,238,50,In Stock
BL010-61CHIKU-B,Blouse,BL010,Free,1,344.0,344.0,1,363,362,50,In Stock
BL013-62BLACK,Blouse,BL013,Free,11,4122.0,374.72727272727275,11,452,441,50,In Stock
BL015-63PINK,Blouse,BL015,Free,2,758.0,379.0,2,337,335,50,In Stock
BL016-63RED-B,Blouse,BL016,Free,1,385.0,385.0,1,146,145,50,In Stock
BL017-63BLACK,Blouse,BL017,Free,1,379.0,379.0,1,173,172,50,In Stock
BL017-63BLACK-B,Blouse,BL017,Free,1,379.0,379.0,1,240,239,50,In Stock
BL019-71PINK-B,Blouse,BL019,Free,2,838.0,419.0,2,268,266,50,In Stock
BL020-71RED-B,Blouse,BL020,Free,1,419.0,419.0,1,166,165,50,In Stock
BL021-71BLACK,Blouse,BL021,Free,38,15909.0,429.97297297297297,37,106,68,50,In Stock
BL021-71BLACK-B,Blouse,BL021,Free,1,818.05,409.025,2,285,284,50,In Stock
BL022-71BEIGE,Blouse,BL022,Free,4,1676.0,558.6666666666666,3,264,260,50,In Stock
BL023-74PINK-B,Blouse,BL023,Free,1,383.0,383.0,1,296,295,50,In Stock
BL024-74RED,Blouse,BL024,Free,1,383.0,383.0,1,495,494,50,In Stock
BL024-74RED-B,Blouse,BL024,Free,1,388.0,388.0,1,298,297,50,In Stock
BL025-74BLACK-B,Blouse,BL025,Free,4,1537.0,384.25,4,457,453,50,In Stock
BL026-74BEIGE,Blouse,BL026,Free,1,383.0,383.0,1,332,331,50,In Stock
BL026-74BEIGE-B,Blouse,BL026,Free,1,383.0,383.0,1,280,279,50,In Stock
BL029-78BLACK,Blouse,BL029,Free,1,818.05,409.025,2,139,138,50,In Stock
BL029-78BLACK-B,Blouse,BL029,Free,4,1676.0,419.0,4,199,195,50,In Stock
BL035-161GOLD,Blouse,BL035,Free,16,6002.0,428.7142857142857,14,470,454,50,In Stock
BL036-176GOLD,Blouse,BL036,Free,8,3347.0,418.375,8,289,281,50,In Stock
BL041-65RED-A,Blouse,BL041,Free,5,1935.0,387.0,5,320,315,50,In Stock
BL050-83RED-A,Blouse,BL050,Free,1,379.0,379.0,1,450,449,50,In Stock
BL053-153GOLD-A,Blouse,BL053,Free,1,379.0,379.0,1,241,240,50,In Stock
BL055-164GOLD-A,Blouse,BL055,Free,2,758.0,379.0,2,316,314,50,In Stock
BL056-185GOLD,Blouse,BL056,Free,1,383.0,383.0,1,240,239,50,In Stock
BL057-65BLACK-A,Blouse,BL057,Free,11,4957.28,381.3292307692308,13,112,101,50,In Stock
BL060-75RED,Blouse,BL060,Free,1,419.0,419.0,1,255,254,50,In Stock
BL073-85BLACK,Blouse,BL073,Free,1,429.0,429.0,1,416,415,50,In Stock
BL074-85RED,Blouse,BL074,Free,1,429.0,429.0,1,218,217,50,In Stock
BL075-85CHIKU,Blouse,BL075,Free,1,436.0,436.0,1,155,154,50,In Stock
