Status,Fulfilment,Sales Channel ,ship-service-level,Category,Size,Courier Status,Qty,Amount,ship-city,ship-state,ship-postal-code,promotion-ids,B2B,fulfilled-by,Year,Month,Day,DayOfWeek
3,1,0,1,4,10,0,1,662.0,4315,27,411038.0,917,0,0,2022,4,24,6
3,1,0,1,4,8,0,1,969.0,3063,52,226010.0,753,0,0,2022,4,22,4
2,0,0,0,7,5,0,1,394.0,5317,27,400615.0,3036,0,1,2022,4,5,1
2,0,0,0,4,6,0,1,999.0,1439,21,814101.0,3028,0,1,2022,5,6,4
2,0,0,0,7,6,0,1,696.0,1020,49,600100.0,3036,0,1,2022,5,29,6
0,1,0,1,7,9,1,0,540.96,1706,17,370201.0,3036,0,0,2022,4,21,3
2,0,0,0,7,0,0,1,487.0,1020,49,600044.0,3036,0,1,2022,5,29,6
2,0,0,0,4,10,0,1,835.0,1631,17,390007.0,3028,0,1,2022,5,6,4
3,1,0,1,6,7,0,1,744.0,541,22,560027.0,2741,0,0,2022,4,16,5
2,0,0,0,4,0,0,1,635.0,3063,52,226005.0,3036,0,1,2022,5,28,5
3,1,0,1,5,10,0,1,545.0,2034,53,263139.0,307,0,0,2022,5,10,1
3,1,0,1,4,5,0,1,0.0,590,43,321001.0,15,0,0,2022,5,9,0
2,0,0,0,7,10,0,1,375.0,528,22,590001.0,3028,0,1,2022,4,16,5
3,1,0,1,6,9,0,1,989.0,2019,50,500049.0,1490,0,0,2022,5,14,5
2,0,0,0,4,5,0,1,969.0,4174,7,800020.0,3028,0,1,2022,4,3,6
8,1,0,1,4,9,0,1,788.0,292,39,143001.0,2309,0,0,2022,4,17,6
3,1,0,1,7,7,0,1,0.0,4689,54,700118.0,19,0,0,2022,4,26,1
2,0,0,0,4,6,0,2,1224.0,127,1,516390.0,3028,0,1,2022,5,9,0
2,0,0,0,5,0,0,1,399.0,5757,1,530017.0,3028,0,1,2022,5,4,2
3,1,0,1,4,7,0,1,654.0,3719,27,422101.0,2407,0,0,2022,4,11,0
3,1,0,1,4,5,0,1,1186.0,2019,50,500016.0,1815,0,0,2022,4,22,4
2,0,0,0,6,5,0,1,761.0,6102,27,400014.0,3038,0,1,2022,4,5,1
3,1,0,1,4,5,0,1,967.0,3032,52,230139.0,1545,0,0,2022,5,23,0
2,0,0,0,0,5,0,1,665.0,1020,49,600042.0,3028,0,1,2022,5,12,3
2,0,0,0,7,10,0,1,442.0,1289,27,415712.0,3028,0,1,2022,4,29,4
3,1,0,1,5,6,0,1,518.0,1813,18,122018.0,2757,0,0,2022,4,7,3
