customer_id,first_purchase,last_purchase,order_count,total_revenue,item_quantity,average_order_value,average_basket_size,active_days,active_months,product_variety,country,average_days_between_orders,return_order_count,returned_quantity,returned_value,recency_days,tenure_days,purchase_frequency_30d,return_rate,engagement_score,cluster_id,segment_code,segment_name,model_version
12369,2010-03-08 08:09:00,2010-10-22 13:13:00,3,1791.15,1241,597.05,413.6667,3,3,90,Austria,114.0,0,0,0.0,413,228,0.3947,0.0,44.3,2,SEG-03,Hibernating,customer-segmentation-v1
12426,2010-02-15 08:41:00,2011-05-29 12:26:00,2,1345.21,584,672.6,292.0,2,2,73,Germany,468.0,1,7,33.8,194,468,0.1282,0.3333,38.5,1,SEG-02,Needs Attention,customer-segmentation-v1
12427,2010-12-03 10:44:00,2011-11-18 08:56:00,3,825.8,533,275.27,177.6667,3,3,26,Germany,175.0,2,297,117.43,21,349,0.2579,0.4,55.0,1,SEG-02,Needs Attention,customer-segmentation-v1
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,1,449.45,243,449.45,243.0,1,1,22,Spain,0.0,0,0,0.0,44,0,1.0,0.0,39.4,2,SEG-03,Hibernating,customer-segmentation-v1
12479,2011-11-28 13:26:00,2011-11-28 13:26:00,1,527.2,385,527.2,385.0,1,1,31,Germany,0.0,2,34,49.9,11,0,1.0,0.6667,40.7,1,SEG-02,Needs Attention,customer-segmentation-v1
12503,2010-05-04 13:59:00,2010-05-04 13:59:00,1,1126.0,561,1126.0,561.0,1,1,2,Spain,0.0,1,1,1126.0,584,0,1.0,0.5,9.7,1,SEG-02,Needs Attention,customer-segmentation-v1
12504,2010-04-22 10:24:00,2011-11-21 16:02:00,4,779.05,458,194.76,114.5,4,3,11,Germany,192.6667,2,39,368.05,18,578,0.2076,0.3333,56.7,1,SEG-02,Needs Attention,customer-segmentation-v1
12514,2010-03-08 12:18:00,2011-03-17 16:38:00,2,1597.76,840,798.88,420.0,2,2,76,Italy,374.0,0,0,0.0,267,374,0.1604,0.0,42.2,2,SEG-03,Hibernating,customer-segmentation-v1
12515,2010-12-21 15:43:00,2010-12-21 15:43:00,1,383.7,131,383.7,131.0,1,1,16,Italy,0.0,0,0,0.0,353,0,1.0,0.0,25.6,2,SEG-03,Hibernating,customer-segmentation-v1
12524,2010-02-08 14:41:00,2011-11-30 15:31:00,17,11126.11,7178,654.48,422.2353,16,13,157,Germany,44.0,1,5,34.75,9,660,0.7727,0.0556,85.9,0,SEG-01,Champions,customer-segmentation-v1
12546,2011-09-23 09:44:00,2011-10-24 12:09:00,2,1161.5,633,580.75,316.5,2,2,59,Spain,31.0,1,16,20.0,46,31,1.9355,0.3333,46.6,1,SEG-02,Needs Attention,customer-segmentation-v1
12568,2010-03-05 09:15:00,2010-03-05 09:15:00,1,70.0,48,70.0,48.0,1,1,5,Germany,0.0,0,0,0.0,644,0,1.0,0.0,15.6,2,SEG-03,Hibernating,customer-segmentation-v1
12580,2010-05-12 11:45:00,2011-04-07 10:24:00,2,1052.9,569,526.45,284.5,2,2,52,Germany,330.0,0,0,0.0,246,329,0.1824,0.0,41.7,2,SEG-03,Hibernating,customer-segmentation-v1
12586,2009-12-16 13:15:00,2011-11-22 16:24:00,4,2062.67,687,515.67,171.75,4,4,82,Italy,235.3333,1,2,17.0,17,706,0.17,0.2,65.9,0,SEG-01,Champions,customer-segmentation-v1
12610,2011-08-05 13:52:00,2011-11-17 09:34:00,5,2099.54,1049,419.91,209.8,5,3,85,Italy,26.0,2,21,41.55,22,103,1.4563,0.2857,63.5,0,SEG-01,Champions,customer-segmentation-v1
12643,2010-04-07 14:16:00,2011-08-03 12:56:00,12,8304.82,4665,692.07,388.75,11,10,14,France,48.3,2,308,469.52,128,482,0.7469,0.1429,61.4,0,SEG-01,Champions,customer-segmentation-v1
12693,2010-07-05 13:56:00,2011-08-04 17:51:00,7,1703.02,536,243.29,76.5714,7,7,63,Germany,65.8333,4,12,62.6,127,395,0.5316,0.3636,58.6,1,SEG-02,Needs Attention,customer-segmentation-v1
12741,2010-06-24 16:24:00,2010-06-28 14:36:00,2,406.07,214,203.04,107.0,2,1,16,USA,4.0,0,0,0.0,529,3,2.0,0.0,24.8,2,SEG-03,Hibernating,customer-segmentation-v1
12749,2010-07-06 15:05:00,2011-12-06 09:56:00,9,6897.36,2360,766.37,262.2222,7,7,260,United Kingdom,86.3333,7,89,568.87,3,517,0.5222,0.4375,80.2,0,SEG-01,Champions,customer-segmentation-v1
12756,2011-09-14 09:31:00,2011-09-14 09:31:00,1,112.08,144,112.08,144.0,1,1,4,Japan,0.0,0,0,0.0,86,0,1.0,0.0,32.2,2,SEG-03,Hibernating,customer-segmentation-v1
12774,2010-06-22 10:38:00,2010-06-22 10:38:00,1,98.7,53,98.7,53.0,1,1,6,Netherlands,0.0,0,0,0.0,535,0,1.0,0.0,17.9,2,SEG-03,Hibernating,customer-segmentation-v1
12854,2009-12-11 12:55:00,2011-09-22 12:15:00,7,2970.97,1630,424.42,232.8571,7,6,188,United Kingdom,108.3333,4,21,71.65,78,649,0.3236,0.3636,63.1,0,SEG-01,Champions,customer-segmentation-v1
12878,2011-03-18 14:02:00,2011-04-17 13:07:00,2,854.99,547,427.5,273.5,2,2,38,United Kingdom,30.0,1,11,13.35,236,29,2.0,0.3333,35.2,1,SEG-02,Needs Attention,customer-segmentation-v1
12882,2011-11-06 11:22:00,2011-11-30 16:18:00,2,1463.04,246,731.52,123.0,2,1,12,United Kingdom,24.0,0,0,0.0,9,24,2.0,0.0,51.8,2,SEG-03,Hibernating,customer-segmentation-v1
12925,2010-04-26 10:32:00,2011-12-05 11:11:00,3,729.33,649,243.11,216.3333,3,3,46,United Kingdom,294.0,0,0,0.0,4,588,0.1531,0.0,68.2,2,SEG-03,Hibernating,customer-segmentation-v1
12975,2009-12-06 10:38:00,2010-09-29 09:46:00,6,2100.09,911,350.02,151.8333,5,3,92,United Kingdom,74.25,2,8,106.1,436,296,0.6081,0.25,43.8,1,SEG-02,Needs Attention,customer-segmentation-v1
13003,2011-05-09 08:23:00,2011-08-26 10:50:00,3,149.05,103,49.68,34.3333,3,3,4,United Kingdom,54.5,0,0,0.0,105,109,0.8257,0.0,47.9,2,SEG-03,Hibernating,customer-segmentation-v1
13096,2010-11-10 14:08:00,2010-11-10 14:08:00,1,419.7,6,419.7,6.0,1,1,1,United Kingdom,0.0,0,0,0.0,394,0,1.0,0.0,21.6,2,SEG-03,Hibernating,customer-segmentation-v1
13134,2010-10-19 13:21:00,2011-09-15 10:35:00,6,2475.23,1364,412.54,227.3333,6,5,110,United Kingdom,66.2,3,15,52.95,85,330,0.5455,0.3333,59.4,0,SEG-01,Champions,customer-segmentation-v1
13158,2010-11-16 17:12:00,2011-09-06 11:58:00,5,1508.18,992,301.64,198.4,5,5,70,United Kingdom,73.5,0,0,0.0,94,293,0.5119,0.0,62.0,0,SEG-01,Champions,customer-segmentation-v1
13163,2010-04-08 16:21:00,2010-04-08 16:21:00,1,17.65,3,17.65,3.0,1,1,2,United Kingdom,0.0,1,3,17.65,610,0,1.0,0.5,9.2,1,SEG-02,Needs Attention,customer-segmentation-v1
13228,2011-09-19 14:28:00,2011-09-19 14:28:00,1,358.0,200,358.0,200.0,1,1,2,United Kingdom,0.0,0,0,0.0,81,0,1.0,0.0,32.3,2,SEG-03,Hibernating,customer-segmentation-v1
13260,2011-10-09 13:21:00,2011-10-09 13:21:00,1,557.62,142,557.62,142.0,1,1,8,United Kingdom,0.0,0,0,0.0,61,0,1.0,0.0,35.3,2,SEG-03,Hibernating,customer-segmentation-v1
13305,2010-03-10 14:49:00,2011-12-05 15:15:00,16,3616.41,2228,226.03,139.25,16,14,153,United Kingdom,42.3333,0,0,0.0,4,635,0.7559,0.0,90.4,0,SEG-01,Champions,customer-segmentation-v1
13313,2009-12-02 16:18:00,2011-11-17 16:48:00,12,3445.32,2308,287.11,192.3333,11,10,105,United Kingdom,71.5,3,9,22.05,22,715,0.5035,0.2,77.5,0,SEG-01,Champions,customer-segmentation-v1
13330,2010-02-23 10:12:00,2011-09-08 12:27:00,6,2796.1,1951,466.02,325.1667,6,6,80,United Kingdom,112.4,0,0,0.0,92,562,0.3203,0.0,65.0,0,SEG-01,Champions,customer-segmentation-v1
13351,2011-10-04 12:55:00,2011-10-04 12:55:00,1,373.94,117,373.94,117.0,1,1,16,United Kingdom,0.0,0,0,0.0,66,0,1.0,0.0,35.7,2,SEG-03,Hibernating,customer-segmentation-v1
13395,2010-10-14 13:00:00,2011-06-07 15:04:00,3,1180.23,1660,393.41,553.3333,3,3,77,United Kingdom,118.0,0,0,0.0,185,236,0.3814,0.0,51.1,2,SEG-03,Hibernating,customer-segmentation-v1
13396,2011-01-24 13:37:00,2011-11-10 16:59:00,2,1360.99,600,680.5,300.0,2,2,42,United Kingdom,290.0,2,8,35.7,29,290,0.2069,0.5,47.4,1,SEG-02,Needs Attention,customer-segmentation-v1
13399,2010-07-08 17:47:00,2010-09-01 13:59:00,3,275.4,120,91.8,40.0,3,2,10,United Kingdom,27.5,0,0,0.0,464,54,1.6667,0.0,33.5,2,SEG-03,Hibernating,customer-segmentation-v1
13404,2011-05-11 11:57:00,2011-12-08 15:37:00,2,252.49,111,126.24,55.5,2,2,11,United Kingdom,211.0,0,0,0.0,1,211,0.2844,0.0,59.9,2,SEG-03,Hibernating,customer-segmentation-v1
13456,2011-05-16 15:34:00,2011-11-22 09:18:00,6,1766.72,765,294.45,127.5,6,5,43,United Kingdom,38.0,1,9,28.9,17,189,0.9524,0.1429,69.2,0,SEG-01,Champions,customer-segmentation-v1
13462,2009-12-14 09:48:00,2011-04-01 11:20:00,5,1153.85,697,230.77,139.4,5,5,64,United Kingdom,118.25,1,1,8.25,252,473,0.3171,0.1667,52.3,0,SEG-01,Champions,customer-segmentation-v1
13469,2010-02-24 15:03:00,2010-02-24 15:03:00,1,82.4,52,82.4,52.0,1,1,6,United Kingdom,0.0,0,0,0.0,653,0,1.0,0.0,15.6,2,SEG-03,Hibernating,customer-segmentation-v1
13521,2011-11-29 15:09:00,2011-12-08 13:50:00,3,1071.73,718,357.24,239.3333,3,2,313,United Kingdom,4.5,0,0,0.0,1,8,3.0,0.0,71.4,0,SEG-01,Champions,customer-segmentation-v1
13529,2011-05-19 11:50:00,2011-09-22 09:15:00,2,307.76,74,153.88,37.0,2,2,15,United Kingdom,126.0,0,0,0.0,78,125,0.48,0.0,44.6,2,SEG-03,Hibernating,customer-segmentation-v1
