customer_id,last_purchase,order_count,item_quantity,total_revenue,recency_days
12369,2010-10-22 13:13:00,3,1241,1791.15,413
12426,2011-05-29 12:26:00,2,584,1345.21,195
12427,2011-11-18 08:56:00,3,533,825.8,22
12448,2011-10-26 13:46:00,1,243,449.45,44
12479,2011-11-28 13:26:00,1,385,527.2,11
12503,2010-05-04 13:59:00,1,561,1126.0,584
12504,2011-11-21 16:02:00,4,458,779.05,18
12514,2011-03-17 16:38:00,2,840,1597.76,267
12515,2010-12-21 15:43:00,1,131,383.7,353
12524,2011-11-30 15:31:00,17,7178,11126.11,9
12546,2011-10-24 12:09:00,2,633,1161.5,47
12568,2010-03-05 09:15:00,1,48,70.0,645
12580,2011-04-07 10:24:00,2,569,1052.9,247
12586,2011-11-22 16:24:00,4,687,2062.67,17
12610,2011-11-17 09:34:00,5,1049,2099.54,23
12643,2011-08-03 12:56:00,12,4665,8304.82,128
12693,2011-08-04 17:51:00,7,536,1703.02,127
12741,2010-06-28 14:36:00,2,214,406.07,529
12749,2011-12-06 09:56:00,9,2360,6897.36,4
12756,2011-09-14 09:31:00,1,144,112.08,87
12774,2010-06-22 10:38:00,1,53,98.7,536
12854,2011-09-22 12:15:00,7,1630,2970.97,79
12878,2011-04-17 13:07:00,2,547,854.99,236
12882,2011-11-30 16:18:00,2,246,1463.04,9
12925,2011-12-05 11:11:00,3,649,729.33,5
12975,2010-09-29 09:46:00,6,911,2100.09,437
13003,2011-08-26 10:50:00,3,103,149.05,106
13096,2010-11-10 14:08:00,1,6,419.7,394
13134,2011-09-15 10:35:00,6,1364,2475.23,86
13158,2011-09-06 11:58:00,5,992,1508.18,95
13163,2010-04-08 16:21:00,1,3,17.65,610
13228,2011-09-19 14:28:00,1,200,358.0,81
13259,2011-10-09 10:48:00,9,503,1402.54,62
13304,2010-12-23 14:35:00,4,716,1217.99,351
13312,2010-09-14 14:36:00,1,41,124.75,451
13329,2011-11-08 10:29:00,8,3311,4808.77,32
13350,2011-11-23 16:33:00,2,287,979.12,16
13394,2011-12-08 11:36:00,19,5354,6621.7,2
13395,2011-06-07 15:04:00,3,1660,1180.23,185
13398,2011-05-31 13:17:00,2,341,670.34,192
13403,2011-11-22 08:28:00,3,114,229.5,18
13455,2011-11-15 11:21:00,6,795,2212.99,25
13461,2011-11-01 09:01:00,6,3132,4160.0,39
13468,2011-12-08 10:39:00,72,5617,12793.28,2
13520,2011-10-12 10:20:00,11,3179,6606.0,59
13527,2011-11-06 12:04:00,12,2736,4541.29,34
13569,2011-11-22 13:07:00,4,345,726.54,17
13575,2011-11-16 13:14:00,5,449,732.07,23
13613,2010-09-13 12:01:00,5,445,1039.85,453
13628,2010-02-01 14:44:00,1,106,310.14,676
13642,2011-05-08 12:34:00,4,231,472.2,216
13685,2011-12-07 11:41:00,7,5056,3119.44,3
13692,2011-11-15 11:17:00,5,2101,3114.4,25
13697,2011-11-01 09:14:00,1,177,151.3,39
13706,2011-02-10 09:21:00,2,301,631.17,303
13732,2011-11-11 15:49:00,1,498,491.86,28
13783,2010-08-09 09:23:00,4,3437,1542.09,488
13796,2010-07-28 14:45:00,1,218,289.7,499
13831,2011-11-23 15:41:00,18,2393,6585.54,16
13848,2011-09-08 12:58:00,8,9200,3015.0,92
13864,2010-11-18 12:50:00,1,192,662.4,387
13867,2011-11-08 15:48:00,3,501,1005.09,31
13872,2010-06-30 15:35:00,3,339,919.57,527
13883,2011-11-29 10:45:00,15,3584,6560.02,11
13906,2010-10-26 15:00:00,1,100,42.0,409
13914,2011-11-28 10:35:00,2,380,626.45,12
13926,2011-11-16 13:16:00,1,104,223.85,23
13973,2011-02-25 15:21:00,1,109,264.7,287
13975,2011-11-08 13:19:00,12,3884,5256.4,31
13987,2010-11-25 10:20:00,2,492,682.54,380
13996,2010-11-18 16:27:00,2,613,895.76,386
14007,2010-07-15 09:06:00,1,16,79.48,513
14011,2010-08-16 15:31:00,2,644,457.82,480
14014,2011-09-23 13:18:00,3,2004,1948.21,77
14021,2011-07-07 15:46:00,7,878,1716.58,155
14026,2010-08-26 10:31:00,2,427,713.11,471
14033,2010-06-02 15:10:00,1,576,109.44,555
14063,2010-09-27 16:18:00,9,3850,22710.2,438
14101,2011-09-27 12:28:00,13,10542,9961.93,74
14107,2011-10-19 12:12:00,11,3489,4877.3,52
14138,2011-12-08 12:44:00,2,600,965.88,2
14142,2010-12-01 16:33:00,2,518,671.34,373
14147,2011-09-22 18:10:00,9,995,2590.2,78
14153,2010-08-13 14:35:00,1,312,233.4,483
14154,2011-04-14 16:26:00,8,3222,6460.7,239
14168,2010-10-15 10:49:00,2,147,370.45,421
14196,2011-08-25 10:25:00,1,142,335.52,107
14259,2011-07-21 10:44:00,1,68,120.0,142
14262,2011-12-01 14:17:00,8,1645,2618.23,8
14317,2011-10-06 10:44:00,1,255,508.58,65
14320,2011-05-17 09:24:00,5,713,1346.75,207
14330,2010-03-26 09:10:00,1,103,200.63,624
14371,2011-02-17 16:35:00,1,34,100.5,295
14458,2010-11-24 12:43:00,1,317,228.07,381
14470,2011-11-28 10:31:00,3,282,712.04,12
14502,2011-11-20 11:50:00,11,1480,2429.83,20
