invoice_id,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,transaction_type,line_revenue
489526,21844,RETRO SPOT MUG,6,2009-12-01 11:50:00,2.95,12533,Germany,sale,17.7
489822,21733,RED HANGING HEART T-LIGHT HOLDER,1,2009-12-02 13:26:00,2.95,14204,United Kingdom,sale,2.95
490106,84750A,PINK SMALL GLASS CAKE STAND,8,2009-12-03 16:40:00,1.95,14898,United Kingdom,sale,15.6
490957,21527,RETRO SPOT TRADITIONAL TEAPOT,2,2009-12-08 15:12:00,7.95,15823,United Kingdom,sale,15.9
491007,22066,LOVE HEART TRINKET POT,12,2009-12-08 17:44:00,1.45,16204,United Kingdom,sale,17.4
491211,22059,CERAMIC STRWBERRY DESIGN MUG,24,2009-12-10 14:22:00,1.49,14895,United Kingdom,sale,35.76
492242,84378,SET OF 3 HEART COOKIE CUTTERS,12,2009-12-16 09:23:00,1.25,15312,United Kingdom,sale,15.0
492810,21463,MIRRORED DISCO BALL,16,2009-12-20 12:47:00,4.95,17858,United Kingdom,sale,79.2
494642,21935,SUKI SHOULDER BAG,10,2010-01-17 11:35:00,1.45,17850,United Kingdom,sale,14.5
494732,84378,SET OF 3 HEART COOKIE CUTTERS,12,2010-01-18 12:27:00,1.25,16670,United Kingdom,sale,15.0
494866,21507,"ELEPHANT, BIRTHDAY CARD,",12,2010-01-19 11:20:00,0.42,16253,United Kingdom,sale,5.04
495389,22130,PARTY CONE CHRISTMAS DECORATION,6,2010-01-24 15:14:00,0.85,14044,United Kingdom,sale,5.1
495546,48111,DOOR MAT 3 SMILEY CATS,1,2010-01-25 15:54:00,6.75,13206,United Kingdom,sale,6.75
495994,21704,BAG 250g SWIRLY MARBLES,6,2010-01-28 11:36:00,0.85,15563,United Kingdom,sale,5.1
496513,21868,POTTING SHED TEA MUG,24,2010-02-02 11:54:00,1.25,13162,United Kingdom,sale,30.0
496863,21190,PINK HEARTS PAPER GARLAND,9,2010-02-04 12:08:00,1.65,16771,United Kingdom,sale,14.85
497264,21755,LOVE BUILDING BLOCK WORD,1,2010-02-08 13:24:00,5.95,15967,United Kingdom,sale,5.95
498694,22257,FELT FARM ANIMAL SHEEP,12,2010-02-22 11:42:00,1.25,13787,United Kingdom,sale,15.0
499532,85008,SET OF 3 CONEY ISLAND OVAL BOXES,16,2010-03-01 11:33:00,1.65,15219,United Kingdom,sale,26.4
500177,20828,GLITTER BUTTERFLY CLIPS,1,2010-03-05 10:37:00,2.55,16742,United Kingdom,sale,2.55
500334,22467,GUMBALL COAT RACK,4,2010-03-07 13:37:00,2.55,12872,United Kingdom,sale,10.2
500353,46126A,ELVIS WALLHANGING / CURTAIN,20,2010-03-07 15:25:00,1.25,12668,Germany,sale,25.0
500458,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-03-08 12:24:00,1.95,16628,United Kingdom,sale,19.5
501043,22139,RETRO SPOT TEA SET CERAMIC 11 PC,3,2010-03-12 10:09:00,4.95,14911,EIRE,sale,14.85
501440,85185C,COW SOCK PUPPET,2,2010-03-16 13:28:00,2.95,15311,United Kingdom,sale,5.9
501699,21080,SET/20 RED SPOTTY PAPER NAPKINS,3,2010-03-18 19:29:00,0.85,14702,United Kingdom,sale,2.55
502464,22122,SET OF 2 FANCY FONT TEA TOWELS,1,2010-03-24 15:00:00,2.95,12748,United Kingdom,sale,2.95
C502910,21314,SMALL GLASS HEART TRINKET POT,-1,2010-03-29 13:04:00,2.1,16327,United Kingdom,return,-2.1
503248,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2010-03-31 10:10:00,1.25,16954,United Kingdom,sale,15.0
503401,21212,PACK OF 72 RETRO SPOT CAKE CASES,24,2010-03-31 16:31:00,0.55,17428,United Kingdom,sale,13.2
503718,22211,WOOD STAMP SET FLOWERS,2,2010-04-06 15:10:00,1.65,15867,United Kingdom,sale,3.3
