sku,design_number,stock_quantity,category,size,color,reorder_level,stock_status
AN210-NAVY-M,AN210,3,Leggings,M,Navy Blue,5,low_stock
BL0115-S,BL115,2,Blouse,S,Olive,5,low_stock
BL016-63RED,BL016,24,Blouse,FREE,Red,5,in_stock
BL024-74RED,BL024,103,Blouse,FREE,Red,5,in_stock
BL031-79PINK,BL031,8,Blouse,FREE,Pink,5,in_stock
BL035-161GOLD,BL035,448,Blouse,FREE,Gold,5,in_stock
BL083-186GOLD,BL083,16,Blouse,FREE,Gold,5,in_stock
BL095-L,BL095,51,Blouse,L,Multicolor,5,in_stock
BL111-M,BL111,6,Blouse,M,Black,5,in_stock
BTM006-L,BTM006,2,Bottom,L,Green,5,low_stock
BTM026-NP-S,BTM026,6,Pant,S,Red,5,in_stock
BTM026-NP-XXL,BTM026,0,Pant,XXL,Red,5,out_of_stock
BTM027-NP-M,BTM027,14,Pant,M,Green,5,in_stock
BTM033-NP-XXL,BTM033,3,Pant,XXL,Turquoise Blue,5,low_stock
BTM042-PP-XXL,BTM042,6,Palazzo,XXL,Mustard,5,in_stock
BTM048-PP-XS,BTM048,51,Palazzo,XS,Green,5,in_stock
J0002-SKD-L,J0002,93,Kurta Set,L,Peach,5,in_stock
J0006-SET-XS,J0006,149,Dress,XS,Mustard,5,in_stock
J0019-SET-XS,J0019,9,Set,XS,Red,5,in_stock
J0024-KR-S,J0024,176,Kurta,S,Sea Green,5,in_stock
J0024-KR-XXL,J0024,92,Kurta,XXL,Sea Green,5,in_stock
J0026-KR-XXL,J0026,1,Kurta,XXL,Turquoise Green,5,low_stock
J0028-KR-XXL,J0028,1,Kurta,XXL,Red,5,low_stock
J0029-KR-XS,J0029,0,Kurta,XS,Pink,5,out_of_stock
J0047-TP-XL,J0047,2,Top,XL,Pink,5,low_stock
J0073-KR-XXL,J0073,2,Kurta,XXL,Light Blue,5,low_stock
J0075-KR-XXL,J0075,0,Kurta,XXL,Pink,5,out_of_stock
J0085-TP-L,J0085,3,Crop Top,L,Blue,5,low_stock
J0087-TP-S,J0087,28,Crop Top,S,Light Green,5,in_stock
J0087-TP-XS,J0087,45,Crop Top,XS,Light Green,5,in_stock
J0103-SKD-L,J0103,33,Kurta Set,L,Yellow,5,in_stock
J0110-SKD-XXXL,J0110,1,Kurta Set,XXXL,Black,5,low_stock
J0112-TP-L,J0112,4,Top,L,Green,5,low_stock
J0113-TP-XXL,J0113,29,Top,XXL,Blue,5,in_stock
J0117-TP-XXXL,J0117,48,Top,XXXL,White,5,in_stock
J0127-SKD-XXXL,J0127,26,Kurta Set,XXXL,Multicolor,5,in_stock
J0130-SET-XL,J0130,2,Kurta Set,XL,Green,5,low_stock
J0132-KR-XS,J0132,6,Kurta,XS,Orange,5,in_stock
J0148-SET-XXXL,J0148,21,Kurta Set,XXXL,Green,5,in_stock
J0152-DR-XS,J0152,0,Dress,XS,Blue,5,out_of_stock
J0155-KR-M,J0155,2,Kurta,M,Green,5,low_stock
J0160-TP-XS,J0160,0,Top,XS,Blue,5,out_of_stock
J0168-DR-XXXL,J0168,1,Dress,XXXL,Sky Blue,5,low_stock
J0178-TP-XL,J0178,1,Top,XL,Multicolor,5,low_stock
J0181-TP-XXXL,J0181,1,Top,XXXL,Pink,5,low_stock
J0184-KR-L,J0184,4,Kurta,L,Orange,5,low_stock
J0186-SET-XXXL,J0186,2,Kurta Set,XXXL,Black,5,low_stock
J0194-DR-XS,J0194,28,Dress,XS,Green,5,in_stock
J0223-SKD-S,J0223,28,Set,S,Purple,5,in_stock
J0231-SKD-XXXL,J0231,13,Kurta Set,XXXL,Green,5,in_stock
J0235-SKD-S,J0235,26,Kurta Set,S,Rust,5,in_stock
