order_id,order_date,order_status,fulfilment,sales_channel,ship_service_level,style,sku,category,size,asin,courier_status,quantity,currency,amount,ship_state,is_b2b,fulfilled_by,transaction_type,quality_status
171-3575639-3022711,2022-04-01,Cancelled,Merchant,Amazon.in,Standard,JNE3834,JNE3834-KR-XL,Kurta,XL,B09Q3JQJ67,,0,INR,522.86,WEST BENGAL,False,Easy Ship,cancelled,non_positive_quantity
171-9794601-6978764,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-XXXL,Kurta,3XL,B081WZ4T3V,Shipped,1,INR,449.0,TELANGANA,False,,sale,valid
405-3885266-7013123,2022-04-01,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3800,JNE3800-KR-XXL,Western Dress,XXL,B09SDYNZQ5,Shipped,1,INR,761.0,MAHARASHTRA,False,Easy Ship,sale,valid
405-9816382-5223502,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,J0249,J0249-SKD-L,Set,L,B09M6T674G,Shipped,1,INR,927.0,KARNATAKA,False,,sale,valid
403-6182499-0788348,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,J0338,J0338-DR-L,Western Dress,L,B09832FGG4,Shipped,2,INR,2066.0,KARNATAKA,False,,sale,valid
406-2376265-6110752,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,JNE3630,JNE3630-KR-XL,Kurta,XL,B09CT26638,Shipped,1,INR,481.0,WEST BENGAL,False,,sale,valid
407-1390157-3417957,2022-04-02,Shipped,Amazon,Amazon.in,Expedited,J0341,J0341-DR-L,Western Dress,L,B099NRCT7B,Shipped,1,INR,1033.0,TAMIL NADU,False,,sale,valid
406-8514105-8011505,2022-04-03,Shipped,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-L,Set,L,B08XQ8MCKP,Shipped,1,INR,698.0,MAHARASHTRA,False,,sale,valid
171-1121118-7909164,2022-04-04,Shipped,Amazon,Amazon.in,Expedited,JNE3679,JNE3679-TU-L,Top,L,B0943J4SL3,Shipped,1,INR,425.0,TELANGANA,False,,sale,valid
171-5572739-8932341,2022-04-04,Shipped,Amazon,Amazon.in,Expedited,SET351,SET351-KR-NP-M,Set,M,B09KXV7YB4,Shipped,1,INR,599.0,HARYANA,False,,sale,valid
