Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489545,22143,CHRISTMAS CRAFT HEART DECORATIONS,1,2009-12-01 12:22:00,2.1,17804.0,United Kingdom
490013,22333,RETRO SPORT PARTY BAG + STICKER SET,8,2009-12-03 12:27:00,1.65,17069.0,United Kingdom
490054,21493, VINTAGE DESIGN GIFT TAGS,48,2009-12-03 13:22:00,0.85,17017.0,United Kingdom
490074,21543,BUTTERFLY WATER TRANSFER TATTOOS ,1,2009-12-03 14:39:00,1.7,,United Kingdom
490674,22118,JOY WOODEN BLOCK LETTERS,3,2009-12-07 13:06:00,4.95,14307.0,United Kingdom
490745,22348,TEA BAG PLATE RED SPOTTY ,3,2009-12-07 18:02:00,1.7,,United Kingdom
490938,35633B,BLUE TINSEL GARLAND ,5,2009-12-08 13:59:00,0.19,14605.0,United Kingdom
491634,21588,RETRO SPOT GIANT  TUBE MATCHES,1,2009-12-11 15:40:00,2.55,17841.0,United Kingdom
492226,21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,2,2009-12-15 18:33:00,3.43,,United Kingdom
492593,47369B,BLUE GREEN EMBROIDERY COSMETIC BAG,1,2009-12-17 15:44:00,2.95,15917.0,United Kingdom
493667,20888,SET 3 JARDIN DE FEMME SCENT CANDLES,24,2010-01-05 12:13:00,1.25,13253.0,United Kingdom
493961,47590B,PINK HAPPY BIRTHDAY BUNTING,1,2010-01-08 15:16:00,5.45,17841.0,United Kingdom
493978,85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,2010-01-10 11:55:00,1.65,17920.0,United Kingdom
494387,70007,HI TEC ALPINE HAND WARMER,8,2010-01-14 09:46:00,1.66,,United Kingdom
494471,21484,CHICK GREY HOT WATER BOTTLE,2,2010-01-14 14:48:00,3.45,13680.0,United Kingdom
495150,85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,6,2010-01-21 11:51:00,1.65,14714.0,United Kingdom
495185,22236,CAKE STAND 3 TIER MAGIC GARDEN,12,2010-01-21 14:01:00,10.95,14439.0,Greece
496007,85232B,SET/3 RUSSIAN DOLL STACKING TINS,3,2010-01-28 12:32:00,4.95,15203.0,United Kingdom
496690,22265,EASTER DECORATION NATURAL CHICK,6,2010-02-03 13:09:00,0.65,14399.0,United Kingdom
496913,82607C,GLASS BONBON JAR. SUPERFINES,6,2010-02-04 15:19:00,1.25,16986.0,United Kingdom
497632,21770,OPEN CLOSED METAL SIGN,1,2010-02-11 13:41:00,4.95,16918.0,United Kingdom
497742,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,16,2010-02-12 10:45:00,8.49,16029.0,United Kingdom
497815,22058,,192,2010-02-12 14:52:00,0.0,,United Kingdom
497912,90167,BEADED LOVE HEART JEWELLERY SET,12,2010-02-14 14:35:00,0.85,12867.0,United Kingdom
497922,21156,RED SPOTTY CHILDS APRON,8,2010-02-14 15:47:00,1.95,14909.0,United Kingdom
498560,21240,BLUE  SPOTTY CUP,3,2010-02-21 11:29:00,0.85,16335.0,United Kingdom
498764,84990,60 GOLD AND SILVER FAIRY CAKE CASES,3,2010-02-22 17:21:00,0.55,14081.0,United Kingdom
499220,84849B,FAIRY SOAP SOAP HOLDER,1,2010-02-25 11:32:00,1.69,14606.0,United Kingdom
499308,22266,EASTER DECORATION HANGING BUNNY,24,2010-02-26 10:11:00,0.65,14329.0,United Kingdom
499494,85200,BUNNY EGG BOX,6,2010-02-28 14:12:00,1.25,16283.0,United Kingdom
500784,85049D,BRIGHT BLUES RIBBONS ,12,2010-03-10 10:51:00,1.25,14286.0,United Kingdom
501306,35811A,ENAMEL PINK SUGAR CONTAINER,1,2010-03-15 17:29:00,4.21,,United Kingdom
501836,47566B,TEA TIME PARTY BUNTING,6,2010-03-19 17:03:00,4.65,15808.0,United Kingdom
501922,22119,PEACE WOODEN BLOCK LETTERS,1,2010-03-22 10:26:00,6.95,13151.0,United Kingdom
502829,21687,SILVER PLATE CANDLE BOWL LARGE,2,2010-03-28 12:20:00,3.75,17827.0,United Kingdom
502896,22374,AIRLINE BAG VINTAGE JET SET RED,3,2010-03-29 11:49:00,6.35,15527.0,United Kingdom
