SKU Code,Design No.,Stock,Category,Size,Color
AN201-RED-XL,AN201,6.0,AN : LEGGINGS,XL,Red
AN211-BLACK-S,AN211,7.0,AN : LEGGINGS,S,Black
AN212-WHITE-L,AN212,11.0,AN : LEGGINGS,L,White
BL016-63RED,BL016,24.0,BLOUSE,FREE,Red
#REF!,BL019,0.0,BLOUSE,FREE,Pink
#REF!,BL022,0.0,BLOUSE,FREE,Beige
BL026-74BEIGE,BL026,98.0,BLOUSE,FREE,Beige
BL050-83RED,BL050,63.0,BLOUSE,FREE,Red
BL075-85CHIKU,BL075,7.0,BLOUSE,FREE,Chiku
BL085-S,BL085,12.0,BLOUSE,S,Orange
BL107-XL,BL107,3.0,BLOUSE,XL,White
BTM003-XS,BTM003,40.0,PANT,XS,Maroon
BTM008-L,BTM008,6.0,PANT,L,Grey
BTM008-XL,BTM008,10.0,PANT,XL,Grey
BTM008-XXXL,BTM008,15.0,PANT,XXXL,Grey
BTM031-NP-XL,BTM031,13.0,PANT,XL,Brown
BTM040-PP-XL,BTM040,3.0,PALAZZO,XL,Brown
BTM044-PP-XXXL,BTM044,5.0,PALAZZO,XXXL,Maroon
BTM046-PP-S,BTM046,29.0,PALAZZO,S,Navy Blue
BTM053-SHA-XXL,BTM053,39.0,SHARARA,XXL,Red
CH202-ORANGE-S,CH202,7.0,AN : LEGGINGS,S,Orange
CH210-NAVY-L,CH210,2.0,AN : LEGGINGS,L,Navy Blue
J0004-SKD-M,J0004,61.0,KURTA SET,M,Grey
J0008-SKD-S,J0008,171.0,KURTA SET,S,Mustard
J0016-DR-XS,J0016,2.0,DRESS,XS,Mustard
J0021-TP-XXXL,J0021,1.0,TOP,XXXL,Red
J0024-KR-S,J0024,176.0,KURTA,S,Sea Green
J0026-KR-S,J0026,0.0,KURTA,S,Turquoise Green
J0026-KR-XXL,J0026,1.0,KURTA,XXL,Turquoise Green
J0027-SET-L,J0027,0.0,SET,L,Turquoise Green
J0029-KR-XXL,J0029,0.0,KURTA,XXL,Pink
J0046-TP-XXXL,J0046,1.0,TOP,XXXL,Grey
J0077-SKD-L,J0077,3.0,KURTA SET,L,Blue
J0086-DR-XXL,J0086,1.0,DRESS,XXL,Light Green
J0089-TP-XL,J0089,4.0,CROP TOP,XL,Pink
J0093-DR-S,J0093,0.0,DRESS,S,Blue
J0093-DR-XXL,J0093,0.0,DRESS,XXL,Blue
J0096-KR-XXL,J0096,90.0,KURTA,XXL,Blue
J0103-SKD-S,J0103,50.0,KURTA SET,S,Yellow
J0108-SKD-XXXL,J0108,4.0,KURTA SET,XXXL,Light Green
J0114-TP-L,J0114,1.0,TOP,L,Pink
J0119-TP-XS,J0119,34.0,TOP,XS,Mustard
J0129-SET-XL,J0129,1.0,KURTA SET,XL,Pink
J0132-KR-XL,J0132,1.0,KURTA,XL,Orange
J0133-KR-XXXL,J0133,3.0,KURTA,XXXL,Maroon
J0141-KR-XL,J0141,1.0,KURTA,XL,Blue
J0142-KR-L,J0142,2.0,KURTA,L,Orange
J0148-SET-XXL,J0148,7.0,KURTA SET,XXL,Green
J0153-DR-XXXL,J0153,3.0,DRESS,XXXL,Green
J0166-DR-XL,J0166,3.0,DRESS,XL,Pink
J0169-KR-XXXL,J0169,1.0,KURTA,XXXL,Multicolor
J0170-TP-M,J0170,1.0,TOP,M,Blue
J0173-DR-S,J0173,29.0,DRESS,S,Red
J0173-DR-XL,J0173,2.0,DRESS,XL,Red
J0175-KR-S,J0175,32.0,KURTA,S,Maroon
J0177-KR-XXXL,J0177,2.0,KURTA,XXXL,Green
J0195-TP-XS,J0195,11.0,TOP,XS,Maroon
J0196-TP-S,J0196,5.0,TOP,S,Green
J0207-DR-M,J0207,20.0,DRESS,M,Olive
J0216-BL-XXL,J0216,17.0,BLOUSE,XXL,Green
J0231-SKD-L,J0231,16.0,KURTA SET,L,Green
J0246-SKD-XXL,J0246,36.0,KURTA SET,XXL,OFF WHITE
J0252-SKD-S,J0252,2.0,KURTA SET,S,Orange
J0262-KR-M,J0262,0.0,KURTA,M,Grey
J0263-KR-XL,J0263,2.0,KURTA,XL,Maroon
J0278-SET-L,J0278,1.0,KURTA SET,L,Peach
J0278-SET-XL,J0278,1.0,KURTA SET,XL,Peach
J0285-SKD-L,J0285,80.0,KURTA SET,L,Grey
J0285-SKD-M,J0285,79.0,KURTA SET,M,Grey
J0287-KR-S,J0287,1.0,KURTA,S,Black
J0288-KR-M,J0288,3.0,KURTA,M,Grey
J0298-DR-XXXL,J0298,2.0,KURTA,XXXL,Multicolor
J0334-TP-XS,J0334,44.0,TOP,XS,Orange
J0340-TP-L,J0340,86.0,TOP,L,Green
J0352-KR-M,J0352,54.0,KURTA,M,Green
J0372-SKD-L,J0372,31.0,KURTA SET,L,Mustard
J0376-SKD-S,J0376,7.0,KURTA,S,Pink
J0378-SKD-L,J0378,1.0,SET,L,Green
J0378-SKD-XXXL,J0378,2.0,SET,XXXL,Green
J0389-TP-L,J0389,27.0,TOP,L,Teal
J0397-DR-XXL,J0397,16.0,DRESS,XXL,Red
J0399-DR-XS,J0399,0.0,DRESS,XS,Rust
J0418-TP-M,J0418,3.0,TOP,M,Yellow
J0418-TP-XS,J0418,2.0,TOP,XS,Yellow
J0420-TP-XXL,J0420,32.0,TOP,XXL,Pink
J0420-TP-XXXL,J0420,31.0,TOP,XXXL,Pink
J0429-DR-XXL,J0429,72.0,DRESS,XXL,Peach
JAN8606-TP-M,JAN8606,5.0,TOP,M,Red
JAN8610-KR-NP-S,JAN8610,4.0,SET,S,Green
JAN8618-DR-XL,JAN8618,7.0,DRESS,XL,Blue
JAN8618-DR-XXL,JAN8618,1.0,DRESS,XXL,Blue
JAN8622-KR-NP-XXL,JAN8622,0.0,SET,XXL,Turquoise Green
