Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-state,B2B,fulfilled-by
407-4936046-5852304,04-30-22,Cancelled,Merchant,Amazon.in,Standard,SET355,SET355-KR-PP-XXL,Set,XXL,B09RKD8HQJ,,0,INR,1249.11,HARYANA,False,Easy Ship
402-1365379-0131533,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,J0012,J0012-SKD-M,Set,M,B0894XYMWS,Cancelled,0,,,TELANGANA,False,
406-0691895-0471503,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3440,JNE3440-KR-N-XL,kurta,XL,B081WPK66G,Shipped,1,INR,399.0,UTTAR PRADESH,False,Easy Ship
403-9559970-4766705,04-29-22,Shipped,Amazon,Amazon.in,Expedited,SET291,SET291-KR-PP-L,Set,L,B099NJKJ54,Shipped,1,INR,563.0,UTTAR PRADESH,False,
171-0507987-9169958,04-29-22,Shipped,Amazon,Amazon.in,Expedited,SET187,SET187-KR-DH-XL,Set,XL,B08B415N6S,Shipped,1,INR,599.0,MAHARASHTRA,False,
402-2379252-5068345,04-29-22,Shipped,Amazon,Amazon.in,Expedited,J0339,J0339-DR-L,Western Dress,L,B098315N2Z,Shipped,1,INR,744.0,DELHI,False,
405-0857013-6017959,04-29-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET290,SET290-KR-DPT-XL,Set,XL,B09B58186F,Shipped,1,INR,725.0,KARNATAKA,False,Easy Ship
404-7509848-7239517,04-28-22,Shipped,Amazon,Amazon.in,Expedited,SET264,SET264-KR-NP-XL,Set,XL,B08YN7XDSG,Shipped,1,INR,824.0,TAMIL NADU,False,
407-7419861-4520333,04-28-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET219,SET219-KR-PP-XXXL,Set,3XL,B08B3Y6ZXM,Shipped,1,INR,662.0,DELHI,False,Easy Ship
171-6466840-1095568,04-28-22,Shipped,Amazon,Amazon.in,Expedited,NW039,NW039-TP-SR-L,Set,L,B09M75K39B,Shipped,1,INR,495.0,HARYANA,False,
171-5259957-5172352,04-28-22,Cancelled,Merchant,Amazon.in,Standard,JNE3470,JNE3470-KR-XXXL,kurta,3XL,B08W9LL6J6,,0,INR,313.33,TELANGANA,False,Easy Ship
171-7026969-1955542,04-27-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET405,SET405-KR-NP-XXL,Set,XXL,B09QJ2HM91,Shipped,1,INR,771.0,TELANGANA,False,Easy Ship
403-1027324-5113133,04-27-22,Shipped,Amazon,Amazon.in,Expedited,SET333,SET333-KR-DPT-M,Set,M,B09RKF4FNJ,Shipped,1,INR,967.0,KARNATAKA,False,
407-2592903-2137164,04-27-22,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,J0333,J0333-DR-XL,Western Dress,XL,B09832B571,Shipped,1,INR,825.0,KARNATAKA,False,Easy Ship
171-7791805-4099535,04-26-22,Shipped,Amazon,Amazon.in,Expedited,SET110,SET110-KR-PP-M,Set,M,B0822TDMYH,Shipped,1,INR,788.0,MAHARASHTRA,False,
404-0218339-3231503,04-26-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET389,SET389-KR-NP-XL,Set,XL,B09KXW4WQC,Shipped,1,INR,680.0,PUNJAB,False,Easy Ship
406-9002076-4152331,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0341,J0341-DR-XXXL,Western Dress,3XL,B099NSQP4Z,Shipped,1,INR,744.0,TELANGANA,False,Easy Ship
171-3093448-0637949,04-25-22,Shipped,Amazon,Amazon.in,Expedited,J0339,J0339-DR-XL,Western Dress,XL,B0982ZDB2S,Shipped,1,INR,744.0,MAHARASHTRA,False,
